APC,Provider State,Outpatient Services,Average Estimated Submitted Charges,Average Total Payments
0012 - Level I Debridement & Destruction,AK,994,149.5897485,36.62385312
0012 - Level I Debridement & Destruction,AL,23,78.08695652,21.91043478
0012 - Level I Debridement & Destruction,AR,3709,69.85356161,15.44127258
0012 - Level I Debridement & Destruction,AZ,1807,52.0653016,14.66828445
0012 - Level I Debridement & Destruction,CA,18163,66.43881242,18.59477344
0012 - Level I Debridement & Destruction,CO,5580,94.39612545,19.95438351
0012 - Level I Debridement & Destruction,CT,3753,84.71050893,20.52639222
0012 - Level I Debridement & Destruction,DC,204,68.66946078,15.4
0012 - Level I Debridement & Destruction,FL,2150,44.89589767,14.24128372
0012 - Level I Debridement & Destruction,GA,936,114.2341774,20.38635684
0012 - Level I Debridement & Destruction,HI,1066,62.88214822,16.07189493
0012 - Level I Debridement & Destruction,IA,13645,32.81275192,15.505797
0012 - Level I Debridement & Destruction,ID,711,29.04078762,14.40611814
0012 - Level I Debridement & Destruction,IL,8204,99.00408216,15.61961848
0012 - Level I Debridement & Destruction,IN,291,126.3230241,17.10353952
0012 - Level I Debridement & Destruction,KS,181,74.60425414,18.63939227
0012 - Level I Debridement & Destruction,KY,38,96.49605263,20.42315789
0012 - Level I Debridement & Destruction,LA,2241,134.1665819,21.94087461
0012 - Level I Debridement & Destruction,MA,31260,196.6984936,17.78016283
0012 - Level I Debridement & Destruction,ME,2775,39.25735856,17.11422703
0012 - Level I Debridement & Destruction,MI,2689,62.18955746,16.10998512
0012 - Level I Debridement & Destruction,MN,12028,54.85683489,16.46887346
0012 - Level I Debridement & Destruction,MO,9162,47.51251037,13.70550862
0012 - Level I Debridement & Destruction,MS,1001,88.13605395,21.02644356
0012 - Level I Debridement & Destruction,MT,5827,38.16521881,14.96448258
0012 - Level I Debridement & Destruction,NC,13461,45.49925266,15.1474051
0012 - Level I Debridement & Destruction,ND,7076,23.86800452,15.35115319
0012 - Level I Debridement & Destruction,NE,72,223.8738889,13.40347222
0012 - Level I Debridement & Destruction,NH,4627,55.4499222,18.08674519
0012 - Level I Debridement & Destruction,NM,1118,147.6549195,14.5280322
0012 - Level I Debridement & Destruction,NV,11,143,19.46272727
0012 - Level I Debridement & Destruction,NY,7234,46.12096765,15.19461156
0012 - Level I Debridement & Destruction,OH,1302,107.7487634,14.61526882
0012 - Level I Debridement & Destruction,OK,83,206.6644578,17.54144578
0012 - Level I Debridement & Destruction,OR,7677,35.99093266,16.11646346
0012 - Level I Debridement & Destruction,PA,17099,54.01115738,14.96406749
0012 - Level I Debridement & Destruction,RI,36,244.8108333,22.71833333
0012 - Level I Debridement & Destruction,SC,4909,65.68680179,16.37943369
0012 - Level I Debridement & Destruction,SD,2044,37.02830724,15.12998043
0012 - Level I Debridement & Destruction,TN,178,73.13955056,18.49752809
0012 - Level I Debridement & Destruction,TX,40983,64.42558841,14.14999048
